NOVICE WQ ROUND 1,,,
20,,,
27,,,
2,,,
WALTZ,,,
100,x,x,x
101,x,x,
104,x,x,
106,x,x,x
109,x,x,x
112,x,x,x
114,,,x
117,,,
123,,x,x
125,x,x,x
127,,,x
129,x,x,x
133,x,x,x
135,,,
141,x,x,x
143,,,
144,x,x,x
146,x,x,x
149,x,x,
152,x,x,x
156,x,x,x
159,x,x,x
161,x,x,x
165,x,x,x
168,,,x
169,x,,
175,x,x,x
QUICKSTEP,,,
100,x,x,
101,x,x,
104,x,,x
106,x,x,x
109,x,x,x
112,x,x,x
114,,,x
117,,x,
123,x,x,x
125,x,x,x
127,,x,x
129,x,x,x
133,x,x,x
135,x,,
141,x,x,x
143,,,
144,x,x,x
146,x,x,x
149,,x,x
152,,x,x
156,x,,x
159,x,x,x
161,x,x,x
165,,x,x
168,x,,
169,x,,
175,x,x,x
