PRE-INTERMEDIATE WQ,,,,,
6,,,,,
11,,,,,
2,,,,,
WALTZ,,,,,
1,x,x,x,,x
18,,,x,x,x
75,x,x,x,x,x
100,x,x,x,x,
104,,,,,
107,x,,,,x
117,,x,x,,x
136,x,,,x,
150,,x,,x,x
160,,,x,,
162,x,x,,x,
QUICKSTEP,,,,,
1,x,x,x,x,x
18,,,,x,
75,x,x,x,x,x
100,x,x,x,x,
104,,,,x,
107,x,,,,x
117,,x,x,,
136,x,x,,,x
150,,x,x,,x
160,,,,,
162,x,,x,x,x
